Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
Hindi_image_163.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender,"लडका अपनी आइटम को डिनर पे ले गया आइटम ने महँगा खाना मँगाया ! लडका ""माँ के घर भी यही खाती हो..""? आइटम- माँ डिनर के बाद मेरी चूत नहीं मारती. Moral लडकियाँ वाकई मादरचोद हो गई हैं"
Hindi_image_1379.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender,Men only have 2 moods voddone IllllIllII GalfnchodDa बोबे bailyaar Iillllll
Hindi_image_549.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,wle : Bhabhi Itni Garam Chai Mar raongi Kya 5K She Ha
Hindi_image_138.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Gender,S*x करत़े पत्नी धरे धार माल गा़ड़ी मत चलाओ जोर जोर से शताब्दी एक्सप्रेस चलाओ पति जोर जोर से Ch*dno लगा बच्चा पलंग से गिर गया और बोला माँ का Bh*sda जो मर्जी हो चलाओ पर सवारी मत गिराओ 8<8<
Hindi_image_2271.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,Tu behenkeliind padhta likhta nhi h kya
Hindi_image_123.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,टीचर आज मैं तुमको Noun पढ़ाऊंगी टीचर पप्पू तू खड़ा हो पप्पू - जी टीचर लड़की सबसे हंस के बात करती है इसमें लड़की क्या है ? पप्पू - जी लड़की बिगड़ी हुई है सेटिंग करना चाहती है मैडम
Hindi_image_26.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"औरत : डॉ॰ साहब मेरे पति का लं*्ड बहोत लंबा है, डालते है तो कलेजे को लगता है. डॉ॰ : तो क्या लं*्ड कटवाना ह ?? औरत : नही जी. कलेजा उपर हो सकता है क्या?"
Hindi_image_1781.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,maanrn ne 070 chlcr atnalrTrrall 0
Hindi_image_39.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"< Wruch de Mujhse kabhi Jhoont mat bolna sple er फ@k ७ग< mai pakad leti hun Are waah, fir to mai Roj Jhooth bolunga aap Roj Pakadna. Je5 pwrents <"
Hindi_image_2297.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,Ladki ko khona banana dana chavie Lhulua Chutiya toh duniya wole bhi bana dete hai
Hindi_image_28.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,मदहोश मत करो खुद को किसी का हुस्न देख कर... मोहब्बत अगर चेहरे से होती तो खुदा 'छेद' ना बनाता..... 12:४६ AM
Hindi_image_2366.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,matamii Rutianl Uitiata Chita
Hindi_image_157.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender,"लड़कीः बच्चा 2 दिन से द्रूध नहीं पी रहा| डॉक्टर ने महिला की ब्रा में हाथ डाला और काफी देर तक मुआयना करने के बाद बोला ' र इनमे दूध ही नहीं हैl "" महिलाः मैं तो इसकी मौसी हूँl ?"
Hindi_image_177.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender,Bella !? lt! No! That s dlrty! Stop i Raand ! Saali
Hindi_image_2127.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,GLd Banao Dsodek Lar tumlare dost bole Babकl Lga Daal फai
Hindi_image_456.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender,Jaa Raha Hu Bro memes uncle xe Teri Bandi Ke Gaal Pe Chummi Lene
Hindi_image_5.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,आदमी की सैलेरी औरत की पीरियड जैसी होती हैl जो ३० दिन में एक बार आती है और चार दिन में ख़त्म| किसी महीने नहीं आये तो समझो की लौड़े लग गये|
Hindi_image_30.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"फ थका हारा पति घर आते ही अप बीवी से, छ रोटी भी पकाई है या यूँ चू*त फैलाई है॰"" वीः कुछ आटा-्चावल भी लाये हो सिर्फ लं*्ड लटका कर आये हो| सब्ज़ी"
Hindi_image_120.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender,संता जेल कैसे आना हुआ ? बंता वो पडोशन रोज बडे प्यार से थी. आदाब. आदाब. एक दिन दबा ही दिये कहती
Hindi_image_868.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,"olmot2 dava ="""
Hindi_image_450.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,का दिमाग तब ही चलता जव बात चुदाई की हो 12=04071 लोगों
Hindi_image_2312.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,CXUIII TOH NHIKITEG DIOLEIOD
Hindi_image_1751.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,TRISHIT Malmadarchod hu Main kya karu fir? chod du? Job
Hindi_image_1622.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,alalesh choia त बहिनचोढ हम का करैे
Hindi_image_1123.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,"Prostitutes Suffering from AIDS be like Uuihe चir kar Bada Llatnt80 [8 CEa""d nathtau""t Isune"
Hindi_image_1088.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,मुझ फिर से PM बनाओगे लिखा है इधर चूतिया
Hindi_image_2293.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual,DZPIOCUCIDIIUIO IAIH CHULLIIDIiAHUNGA
Hindi_image_1149.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"बहती है नदी, गिरता है झरना ए मादरचोद अपना काम करना चापू कराtmipu ke Vitchan Mahatma Gandhi"
Hindi_image_1362.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,विरोध की ज़रूरत नही है मादरचोदो निरोध की जरूरत है almia Unndhl |7[1-37=1101771
Hindi_image_2314.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Iu itha lmmature Avengers level ka Cprayaicali Chutiya
Hindi_image_1138.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Thor i told you, die for that Thanos - You should ve gone for the head. Saia I87 Ihen Siate] Mehnat Barbaad Beharch#d you d Snap"
Hindi_image_15.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,सनी लियोन लड़ेंगी २०१९ का चुनाव और नारा होगा सनी लियोन के शासन में चूश्त बटेगी राशन में
Hindi_image_2007.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"""10I01 ota Il;U(T% Iru =tull Ia Chutija Ratnc IDi Bhaiyo Behno bolna raroor hai kmai"
Hindi_image_942.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,MEGHNA SRIVASTAV TOPPED २०१8 CBSE RESULTS WITH 99.8% (499/500 MARKS) LiALA BHEHYCYO YAHA O% LAANE HE C@@YD FTJIITI Yll TITU
Hindi_image_1913.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,"Ialc tlऊ 0 ODDगLDDE ऋ= 67ट 51!]|4=1]701[70|41 DFlaa tJ WटunLw Mluuutn [[[`0""[- Elच / W2uwrDL"
Hindi_image_1791.jpg,Neutral,Non-Sarcastic,Non Vulgar,Abusive,Individual,KIS KO ISS BANDE KlIAEH NCHO BOLNE KI ADAT PAD
Hindi_image_2306.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,GHUTIYA DANAY  TUMKO
Hindi_image_2355.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Papa Ko Lagta Hai Ham Chutiya Hai
Hindi_image_1941.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Overactin -l8 Amit bhadaia
Hindi_image_930.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,ए D३ EOZZ E GRYZEDO DZELE चa NADA L0 IRILU MZMYZ TIlU
Hindi_image_1323.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Wlere Di Vi7ie manti sorry Danga फ2000100 mera baal chor kutti lcre
Hindi_image_1348.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,मादरचोदो मेरा मिंमस बनाते हो गमछा बिछा के ऐसा पेलूंगा न कि पांच किलोमोटर का दायरा ८.५ कि तीव्रता से हिल जायेगा||| (जोशीला बापू) ऊफ कसतुरवा का संया
Hindi_image_516.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,BIIAL ISIOCOUIDDO
Hindi_image_2358.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Aimigaliaiiln CLuLiaLat iiL [
Hindi_image_264.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,Snowman xd Agar me is bandelka L*nd chuste huye dikh Jau toh hairaan mat ७ aana.
Hindi_image_771.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,"S0lnlan Lna Aauine mieri Denl maw @imi 571[70557010 chiinhw +lil:al CutE Iatr .al - miDuit Fld p rl il manl anatit ONTILLTB Drow Dht mlt Sionn ? *=77070|770' 01|1 [1[1]17""2"
Hindi_image_1784.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Il ARHNAN AANSUO HE BEH UBI G:OSLD BIIL Z३ GID OR LOI EIDIIE BET GIIE-
Hindi_image_2338.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"Salnse २iala rDiolo bole la tluriaha  a hano rale ""o"
Hindi_image_2349.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual,l have 2 sides khelo lndfa se & NPL s3 Ghudya jag ru३ larua banana पगानातग८ख
Hindi_image_911.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,People :- Tell Me Something About Your Friend ? Me :- सतरँगी चूतिया पृतृात LL
Hindi_image_2340.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Chu*iya likha hai kya idhar
Hindi_image_1187.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,#NAME?
Hindi_image_958.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,BB ki vines ya Amit badana Amit Badana iण IDIDDD Niche jaa kai G@@nd Imarna naam hai uska Amit badana.
Hindi_image_2207.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Salman Ambani ka khilona GHUIIग
Hindi_image_1173.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,"*Posts a slightly Offensive joke Foreigner Lmao. Thats some dark shit bro ` India: Oye admin, teri ma ki chut bhadve"
Hindi_image_1576.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,gK tocionint sooosoniyo GabdhabsdkकillakyoGhobai
Hindi_image_1519.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,ThBDF YePeheleautothafiriskabellsopptarbanaya HoW: IR Be bekaar hibanaya apnaautohishitha
Hindi_image_2377.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,DEYILBIAHII LEU SICIUTIDIIIIU
Hindi_image_1452.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Individual,"Aaj Mere Pass Gaadil Hai , Bangalow Hai Bank Balance Hai TerePaas Kya Hai ? Toh Party De Dena BSDK ! Bhai Paisa Kaha Hai Yaar Gareeb Hain Hum. ? Log"
Hindi_image_1369.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Individual,अर्जं किया है फूलं मुरझाते अच्छे नहीं लगते आप लंड खुजाते अच्छे नहीं लगते ये ही उम्र है चोदन की यूँ रोज बाथरूम में हिलाते अच्छे नहीं लगते
Hindi_image_1380.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,मेरा तो नामा शो मत लेना मादरचाय
Hindi_image_2346.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,SHIRE3 UUTINIIYCIIU UIUIUUISE Lin UthE taata ISI CHUIINHAIHAPADA
Hindi_image_132.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Individual,"ताऊ नम्बर पर सट्टा लगाया नम्बर आ गया ताऊ करोड़ पति हो गया. एक पत्रकार इंटरव्यू लेने आ गया ""ताऊ इकसठ पर ही सट्टा क्यू लगाया?"" ताऊ ने बताया- ""्बात ऐसी है पत्रकार! उठा , मुझ आसमान में 8 पंछी दिखायी दिए और तारीख़ बस मैंने आठ निम्मा कर दिया| आठ निम्मा इकसठ लगा दिया सट्टा. पत्रकार ""पर ताऊ आठ निम्मे तै बहत्तर है?"" ताऊ ""्बस लौड़े तेरे जैसे *पढ़़े लिखे* के चक्कर में अगर रहता झांट फंसता सट्टा. ने ६१ तुमने मैं सुबह थी 9"
Hindi_image_1111.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Buig Turelcealएn elotolled Laea Q७दद[ऋनात Dama matlerchtod
Hindi_image_2330.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,KITAAII BiUII
Hindi_image_1272.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,क्षत वर्ग सामान्य वर्ग से चोद तेरी नौकरी खा जाउं
Hindi_image_2014.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"UmiolHViltVinll Thtu Wsarm cuaui0@""001|9 ""757510. CाL Chod n"
Hindi_image_1971.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"२ Ulea Ia Oly CaD [5.72""1"" Citiga Uia Urotficiel 777-@ Mutth Wlare Mutth Maare Mera Tharki tharki Beta"
Hindi_image_1178.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Cbao Lar Cbudall dlmag mat LZha paclhne de mea exam al
Hindi_image_1145.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,idk how to flirtidone callled thisbitch teri jesi kutiya ko to kbhi text na kru
Hindi_image_1141.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,दाया ऑ२ बातों ह![ DIIDBEIIUL Backchod Bill OBackcho% CSUIELIJZUIIBG SACKCHOD BILLY
Hindi_image_1264.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Unofficial Mama Agar Aap Behancho Ko bh 1 Behancho padh rahe ho to chut iye check Kyu kiya sah 1 t0 padh Rha tha -TituMama Titu
Hindi_image_1607.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,"lamkedar @Jadhavkedar 4 Cup of Tea makes everything better! @msdhoni @SDhawan२5 Rahul Marhija @Maxhiin Calm down, Calm Down Tu Chup Reh Bewde Daaru ki Smell Aarahi Tere Muhn Se"
Hindi_image_2292.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Hamara dost chutiya hai +7श720""|[23[1|""6[ Hamara dost bchpn Je chutiya hal"
Hindi_image_1303.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,Orm WIHBHOSDIKE UINI
Hindi_image_1386.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Tu Gho२@ Sa bhen ka loda hai kya?
Hindi_image_1213.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,ekdz malt suddenlbtuळ sab ७ओdl७oapue mental peaselale @tOf kardunga phirks sundar ७atihe bahon main rone dee wali ladki ke sath shadRar lstkoon ki zindagi guzaruo@a tum sab ko mere memesna milne ki wajah se deppiession holayrega or sab kutte ki mazs mar७ge apni Dbi२
Hindi_image_1090.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,Abew eeno bsdk ye kta N dlp
Hindi_image_226.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"When Rinky failed in Bihar १२th board Rinkiya k papals reaction चट देनी मार देली , रखींच के तमाचा @rahllaranchan"
Hindi_image_2336.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,Memechat To Users * Kya Kariye ga itne paiso ka  ? Isliye Rehne de Bhadwe
